msoa11cd,msoa11nm,Latitude,Longitude
E02002536,Stockton-on-Tees 002,54.61011064,-1.294842771
E02002537,Stockton-on-Tees 003,54.61127533,-1.27702042
E02002534,Redcar and Cleveland 020,54.52776762,-1.053541023
E02002535,Stockton-on-Tees 001,54.62203812,-1.286708448
E02002532,Redcar and Cleveland 018,54.53701369,-1.05768481
E02002533,Redcar and Cleveland 019,54.5286858,-1.067364747
E02002530,Redcar and Cleveland 016,54.53977036,-0.951966329
E02002538,Stockton-on-Tees 004,54.59609772,-1.290613196
E02002539,Stockton-on-Tees 005,54.60187648,-1.354855791
E02005740,Northumberland 020,55.13775409,-1.573115629
E02005741,Northumberland 021,55.13344252,-1.604050108
E02001736,Newcastle upon Tyne 029,54.971878,-1.65015323
E02001737,Newcastle upon Tyne 030,54.9671923,-1.550470524
E02001734,Newcastle upon Tyne 027,54.9728411,-1.668367654
E02001735,Newcastle upon Tyne 028,54.97242762,-1.558051085
E02001732,Newcastle upon Tyne 025,54.97807419,-1.688244891
E02001733,Newcastle upon Tyne 026,54.97438596,-1.570591429
E02001730,Newcastle upon Tyne 023,54.97741834,-1.597288864
E02001731,Newcastle upon Tyne 024,54.97449768,-1.624225063
E02001738,North Tyneside 001,55.0535026,-1.468405184
E02001739,North Tyneside 002,55.05611529,-1.584572164
E02004354,County Durham 057,54.63772719,-1.714334018
E02004355,County Durham 058,54.64699457,-1.684846437
E02004352,County Durham 055,54.65642055,-1.65893963
E02004353,County Durham 056,54.65415836,-1.684961699
E02004350,County Durham 046,54.71496598,-1.740055143
E02004351,County Durham 051,54.70724721,-1.689800344
E02002506,Middlesbrough 011,54.55195577,-1.22643582
E02002507,Middlesbrough 012,54.54767189,-1.249994033
E02002504,Middlesbrough 009,54.55672494,-1.251928428
E02002505,Middlesbrough 010,54.55144535,-1.201086207
E02002502,Middlesbrough 007,54.55760024,-1.1827619
E02002503,Middlesbrough 008,54.55682821,-1.263905021
E02002500,Middlesbrough 005,54.56047594,-1.24069488
E02002501,Middlesbrough 006,54.56052044,-1.225028904
E02002508,Middlesbrough 013,54.54155552,-1.258388757
E02002509,Middlesbrough 014,54.54083898,-1.215308555
E02001706,Gateshead 025,54.90427786,-1.58035004
E02001787,South Tyneside 020,54.95348217,-1.483325613
E02001707,Gateshead 026,54.88913442,-1.567394793
E02001786,South Tyneside 019,54.96056284,-1.428918369
E02001704,Gateshead 023,54.92360157,-1.587674117
E02001785,South Tyneside 018,54.95780997,-1.36931782
E02001705,Gateshead 024,54.91908929,-1.806674467
E02001784,South Tyneside 017,54.96325091,-1.48558553
E02001702,Gateshead 021,54.92934957,-1.571671938
E02001783,South Tyneside 016,54.96285119,-1.445722186
E02001703,Gateshead 022,54.92440915,-1.746718249
E02001782,South Tyneside 015,54.96442169,-1.510158642
E02001700,Gateshead 019,54.93206834,-1.655384014
E02001781,South Tyneside 014,54.96468488,-1.463877175
E02001701,Gateshead 020,54.93029912,-1.600391404
E02001780,South Tyneside 013,54.96942242,-1.406189702
E02001708,Newcastle upon Tyne 001,55.02086175,-1.662854153
E02001789,South Tyneside 022,54.9510881,-1.411226395
E02001709,Newcastle upon Tyne 002,55.02358196,-1.625075888
E02001788,South Tyneside 021,54.95133482,-1.464177202
E02006842,Gateshead 028,54.95085033,-1.596509042
E02006841,Gateshead 027,54.95949006,-1.595112453
E02004326,County Durham 034,54.7619524,-1.392010377
E02004327,County Durham 036,54.76247727,-1.315090681
E02004324,County Durham 025,54.78830848,-1.339564722
E02004325,County Durham 032,54.76785493,-1.332853647
E02004322,County Durham 018,54.83254108,-1.361978906
E02004323,County Durham 021,54.81612099,-1.393685118
E02004320,County Durham 016,54.84051233,-1.366850681
E02004321,County Durham 017,54.83434626,-1.338255215
E02004328,County Durham 035,54.76402153,-1.349116035
E02004329,County Durham 037,54.75036593,-1.347253597
E02002516,Redcar and Cleveland 002,54.60855463,-1.073813594
E02002517,Redcar and Cleveland 003,54.6072795,-1.089355533
E02002514,Middlesbrough 019,54.5208088,-1.21623261
E02002515,Redcar and Cleveland 001,54.61561865,-1.065058927
E02002512,Middlesbrough 017,54.52458844,-1.195868708
E02002513,Middlesbrough 018,54.52218871,-1.243212765
E02002510,Middlesbrough 015,54.53437738,-1.259538827
E02002518,Redcar and Cleveland 004,54.60394132,-1.051378255
E02002519,Redcar and Cleveland 005,54.59734674,-1.071343723
E02005726,Northumberland 034,55.02867073,-1.77601903
E02005727,Northumberland 019,55.13784815,-2.227863815
E02005725,Northumberland 033,55.04894833,-1.746937908
E02005722,Northumberland 015,55.16598305,-1.734093022
E02005723,Northumberland 016,55.1650055,-1.685753458
