msoa11cd,msoa11nm,Latitude,Longitude
E02002536,Stockton-on-Tees 002,54.610678,-1.2957634
E02002537,Stockton-on-Tees 003,54.611297,-1.2772502
E02002534,Redcar and Cleveland 020,54.527629,-1.053457
E02002535,Stockton-on-Tees 001,54.622131,-1.2872799
E02002532,Redcar and Cleveland 018,54.537155,-1.0579196
E02002533,Redcar and Cleveland 019,54.528341,-1.0675947
E02002530,Redcar and Cleveland 016,54.538927,-0.95208073
E02002538,Stockton-on-Tees 004,54.596223,-1.2905337
E02002539,Stockton-on-Tees 005,54.606496,-1.3550366
E02005740,Northumberland 020,55.137408,-1.5728585
E02005741,Northumberland 021,55.133533,-1.6042375
E02001736,Newcastle upon Tyne 029,54.971706,-1.6498345
E02001737,Newcastle upon Tyne 030,54.967211,-1.5506109
E02001734,Newcastle upon Tyne 027,54.973016,-1.6681007
E02001735,Newcastle upon Tyne 028,54.972279,-1.5580684
E02001732,Newcastle upon Tyne 025,54.977696,-1.6877479
E02001733,Newcastle upon Tyne 026,54.974185,-1.5707328
E02001730,Newcastle upon Tyne 023,54.977314,-1.5975407
E02001731,Newcastle upon Tyne 024,54.974255,-1.6244105
E02001738,North Tyneside 001,55.053417,-1.4682655
E02001739,North Tyneside 002,55.055955,-1.5849496
E02004354,County Durham 057,54.637983,-1.7149263
E02004355,County Durham 058,54.646797,-1.684972
E02004352,County Durham 055,54.656577,-1.6592746
E02004353,County Durham 056,54.654795,-1.6846777
E02004350,County Durham 046,54.71485,-1.7403412
E02004351,County Durham 051,54.705294,-1.686009
E02002506,Middlesbrough 011,54.551893,-1.2265066
E02002507,Middlesbrough 012,54.547545,-1.2481235
E02002504,Middlesbrough 009,54.556799,-1.2520046
E02002505,Middlesbrough 010,54.551806,-1.2006114
E02002502,Middlesbrough 007,54.557473,-1.182548
E02002503,Middlesbrough 008,54.556917,-1.2639551
E02002500,Middlesbrough 005,54.560431,-1.2406648
E02002501,Middlesbrough 006,54.560477,-1.2252772
E02002508,Middlesbrough 013,54.541629,-1.2579547
E02002509,Middlesbrough 014,54.540677,-1.2153426
E02001706,Gateshead 025,54.90434,-1.5801935
E02001787,South Tyneside 020,54.953473,-1.4833102
E02001707,Gateshead 026,54.888843,-1.568569
E02001786,South Tyneside 019,54.960527,-1.4288565
E02001704,Gateshead 023,54.923561,-1.5878885
E02001785,South Tyneside 018,54.958084,-1.369159
